"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"运营平台","用户申请","","2","5","8","0","0"
"运营平台","内容管理","","7","5","13","0","0"
"常州issp门户","资源大厅","","0","0","6","0","0"
"常州issp门户","首页","","0","0","4","0","0"
"常州issp个人中心","服务管理","","0","0","5","0","0"
"常州issp门户","供需大厅","","0","0","17","0","0"
"常州issp个人中心","基本信息","","0","0","3","0","0"
"常州issp门户","服务大厅","","0","0","12","0","0"
"常州issp个人中心","供需管理","","0","1","18","0","0"
"常州issp个人中心","我的团队","","0","0","4","0","0"
"常州issp个人中心","消息中心","","0","0","2","0","0"
"常州issp门户","关于我们","","0","0","1","0","0"
"常州issp门户","政策资讯","","0","0","8","0","0"
"常州issp门户","人才培育","","0","0","1","0","0"
