"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:05 CST 2023","135","","test_运营侧","","","","参与事项综合条件筛选",""
"passed","Thu Sep 07 16:20:22 CST 2023","Thu Sep 07 16:20:22 CST 2023","180","","test_运营侧","","","","资源发布管理批量xia架",""
"passed","Thu Sep 07 16:20:31 CST 2023","Thu Sep 07 16:20:31 CST 2023","187","","test_门户","","","","安全工具下载200状态码",""
"broken","Thu Sep 07 16:20:22 CST 2023","Thu Sep 07 16:20:22 CST 2023","94","","test_运营侧","","","","资源发布管理筛选和重置操作",""
"passed","Thu Sep 07 16:20:31 CST 2023","Thu Sep 07 16:20:32 CST 2023","93","","test_门户","","","","退个人中心跳转",""
"passed","Thu Sep 07 16:20:08 CST 2023","Thu Sep 07 16:20:19 CST 2023","11511","","test_运营侧","","","","课程管理视频上传",""
"passed","Thu Sep 07 16:20:31 CST 2023","Thu Sep 07 16:20:31 CST 2023","188","","test_门户","","","","行业报告下载200状态码",""
"passed","Thu Sep 07 16:19:43 CST 2023","Thu Sep 07 16:19:43 CST 2023","85","","test_个人中心","","","","服务管理页面跳转",""
"passed","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:06 CST 2023","172","","test_运营侧","","","","用户在门户发起联盟申请",""
"passed","Thu Sep 07 16:20:24 CST 2023","Thu Sep 07 16:20:25 CST 2023","1020","","test_门户","","","","需求提交审核”",""
"passed","Thu Sep 07 16:19:43 CST 2023","Thu Sep 07 16:19:43 CST 2023","88","","test_个人中心","","","","用户名修改重复会提示",""
"passed","Thu Sep 07 16:20:30 CST 2023","Thu Sep 07 16:20:30 CST 2023","152","","test_门户","","","","安全运维跳转",""
"passed","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:05 CST 2023","115","","test_运营侧","","","","参与事项导出",""
"passed","Thu Sep 07 16:20:32 CST 2023","Thu Sep 07 16:20:32 CST 2023","89","","test_门户","","","","退出",""
"passed","Thu Sep 07 16:20:31 CST 2023","Thu Sep 07 16:20:31 CST 2023","129","","test_门户","","","","行业报告跳转成功",""
"passed","Thu Sep 07 16:19:43 CST 2023","Thu Sep 07 16:19:43 CST 2023","175","","test_个人中心","","","","用户名修改成功",""
"passed","Thu Sep 07 16:20:20 CST 2023","Thu Sep 07 16:20:21 CST 2023","930","","test_运营侧","","","","资源发布管理pdf上传",""
"broken","Thu Sep 07 16:20:07 CST 2023","Thu Sep 07 16:20:07 CST 2023","103","","test_运营侧","","","","banner管理页面进入",""
"passed","Thu Sep 07 16:19:44 CST 2023","Thu Sep 07 16:19:44 CST 2023","158","","test_个人中心","","","","申请记录详情",""
"passed","Thu Sep 07 16:19:46 CST 2023","Thu Sep 07 16:19:46 CST 2023","81","","test_个人中心","","","","我对接的需求，全部列表",""
"passed","Thu Sep 07 16:20:28 CST 2023","Thu Sep 07 16:20:29 CST 2023","983","","test_门户","","","","供需大厅提交审核接口",""
"passed","Thu Sep 07 16:19:46 CST 2023","Thu Sep 07 16:19:46 CST 2023","89","","test_个人中心","","","","我对接的需求，保存发布需求",""
